# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
  3.66  0.20309E-13   300
  3.67  0.38825E-13   300
  3.68  0.20466E-12   299
  3.69  0.37796E-13   299
  3.70  0.21914E-14   298
  3.71  0.12682E-13   298
  3.72  0.46828E-14   298
  3.73  0.21139E-13   296
  3.74  0.11672E-13   297
  3.75  0.46604E-14   297
  3.76  0.41072E-14   296
  3.77  0.21207E-13   295
  3.78  0.74174E-14   296
  3.79  0.24064E-13   294
  3.80  0.16103E-12   294
  3.81  0.58297E-13   294
  3.82  0.51370E-13   292
  3.83  0.26811E-14   293
  3.84  0.62254E-13   292
  3.85  0.14090E-12   292
  3.86  0.25843E-13   291
  3.87  0.58715E-13   290
  3.88  0.13366E-12   290
  3.89  0.46551E-13   290
  3.90  0.91470E-13   290
  3.91  0.38356E-13   289
  3.92  0.51940E-13   288
  3.93  0.49208E-13   288
  3.94  0.14315E-12   287
  3.95  0.41037E-13   287
  3.96  0.70490E-13   286
  3.97  0.52528E-13   286
  3.98  0.28022E-13   286
  3.99  0.76430E-13   286
  4.00  0.14670E-25   707
  4.01  0.30294E-32   707
  4.02  0.42146E-30   707
  4.03  0.98347E-36   707
  4.04  0.11759E-24  1000
  4.05  0.66983E-36   707
  4.06  0.20657E-24   707
  4.07  0.74794E-30  1000
  4.08  0.10643E-32   707
  4.09  0.40880E-29   707
  4.10  0.60346E-29   707
  4.11  0.53401E-31   707
  4.12  0.20455E-12   294
  4.13  0.14928E-13   281
  4.14  0.35100E-12   292
  4.15  0.88802E-14   280
  4.16  0.21140E-12   280
  4.17  0.49557E-12   291
  4.18  0.92959E-12   290
  4.19  0.90702E-12   290
  4.20  0.19780E-13   278
  4.21  0.21361E-13   278
  4.22  0.35417E-12   289
  4.23  0.79513E-30   707
  4.24  0.12328E-32   707
  4.25  0.10736E-27  1000
  4.26  0.41232E-27   707
  4.27  0.18580E-25   707
  4.28  0.97783E-30   707
  4.29  0.92666E-27   707
  4.30  0.13628E-27  1000
  4.31  0.39615E-24   707
  4.32  0.80733E-27   707
  4.33  0.14512E-35   707
  4.34  0.95571E-36  1000
  4.35  0.54508E-13   285
  4.36  0.12372E-12   284
  4.37  0.34457E-12   283
  4.38  0.23690E-13   272
  4.39  0.20955E-12   282
  4.40  0.26971E-12   282
  4.41  0.81522E-13   270
  4.42  0.71176E-12   282
  4.43  0.36531E-13   271
  4.44  0.19824E-12   270
  4.45  0.26356E-12   271
  4.46  0.11509E-12   270
  4.47  0.76923E-13   269
  4.48  0.22905E-13   268
  4.49  0.43689E-13   268
  4.50  0.36211E-13   268
  4.51  0.20966E-13   267
  4.52  0.45192E-14   267
  4.53  0.28664E-28   707
  4.54  0.82229E-32   707
  4.55  0.12209E-14   267
  4.56  0.38824E-13   266
  4.57  0.13885E-12   266
  4.58  0.15849E-12   266
  4.59  0.15490E-12   266
  4.60  0.33541E-12   265
  4.61  0.30505E-12   265
  4.62  0.94686E-12   264
  4.63  0.32202E-12   265
  4.64  0.87581E-12   264
  4.65  0.66117E-13   263
  4.66  0.68073E-14   263
  4.67  0.69470E-13   262
  4.68  0.37710E-12   262
  4.69  0.29698E-12   261
  4.70  0.37989E-12   261
  4.71  0.29810E-12   261
  4.72  0.12562E-12   262
  4.73  0.13827E-12   261
  4.74  0.37507E-13   261
  4.75  0.51693E-13   260
  4.76  0.23433E-11   268
  4.77  0.34305E-13   260
  4.78  0.51484E-13   258
  4.79  0.62692E-13   258
  4.80  0.54308E-13   258
  4.81  0.38765E-13   258
  4.82  0.12866E-12   258
  4.83  0.39212E-12   266
  4.84  0.16666E-13   257
  4.85  0.29608E-11   266
  4.86  0.26574E-11   266
  4.87  0.24907E-11   265
  4.88  0.38045E-11   265
  4.89  0.29213E-12   255
  4.90  0.50113E-13   255
  4.91  0.80289E-13   254
  4.92  0.74867E-13   255
  4.93  0.34980E-12   254
  4.94  0.21403E-12   253
  4.95  0.58202E-11   261
  4.96  0.57926E-12   253
  4.97  0.15612E-10   261
  4.98  0.94929E-11   260
  4.99  0.52984E-11   261
  5.00  0.10497E-10   259
  5.01  0.33784E-08    76
  5.02  0.24157E-08    73
  5.03  0.42998E-08    71
  5.04  0.42165E-08    71
  5.05  0.65686E-08    71
  5.06  0.81481E-08    71
  5.07  0.76187E-08    71
  5.08  0.95332E-08    72
  5.09  0.10131E-07    72
  5.10  0.14074E-07    72
  5.11  0.14643E-07    71
  5.12  0.14823E-07    71
  5.13  0.16314E-07    71
  5.14  0.12984E-07    71
  5.15  0.16450E-07    71
  5.16  0.15670E-07    71
  5.17  0.11506E-07    70
  5.18  0.11326E-07    70
  5.19  0.15317E-07    70
  5.20  0.14391E-07    70
  5.21  0.14394E-07    70
  5.22  0.97471E-08    70
  5.23  0.12136E-07    70
  5.24  0.88297E-08    70
  5.25  0.83805E-08    69
  5.26  0.85276E-08    69
  5.27  0.74391E-08    70
  5.28  0.79252E-08    70
  5.29  0.44059E-08    70
  5.30  0.44836E-08    70
  5.31  0.21799E-08    70
  5.32  0.30547E-08    70
  5.33  0.43687E-08    69
  5.34  0.58364E-08    69
  5.35  0.71579E-08    69
  5.36  0.59826E-08    69
  5.37  0.10052E-07    69
  5.38  0.89148E-08    69
  5.39  0.10795E-07    69
  5.40  0.14927E-07    70
  5.41  0.16741E-07    69
  5.42  0.18215E-07    69
  5.43  0.18951E-07    69
  5.44  0.23366E-07    70
  5.45  0.23222E-07    70
  5.46  0.26377E-07    70
  5.47  0.31025E-07    70
  5.48  0.33472E-07    70
  5.49  0.33233E-07    70
  5.50  0.34382E-07    71
  5.51  0.33964E-07    70
  5.52  0.35349E-07    71
  5.53  0.35973E-07    71
  5.54  0.36228E-07    71
  5.55  0.35628E-07    71
  5.56  0.34203E-07    71
  5.57  0.33978E-07    71
  5.58  0.32735E-07    72
  5.59  0.30992E-07    72
  5.60  0.27794E-07    73
  5.61  0.24611E-07    74
  5.62  0.21242E-07    75
  5.63  0.18351E-07    77
  5.64  0.17321E-07    79
  5.65  0.18777E-07    78
  5.66  0.19621E-07    78
  5.67  0.20442E-07    77
  5.68  0.20938E-07    76
  5.69  0.28941E-07    75
  5.70  0.41642E-07    74
  5.71  0.54164E-07    74
  5.72  0.67755E-07    73
  5.73  0.84516E-07    72
  5.74  0.99494E-07    71
  5.75  0.12617E-06    72
  5.76  0.14299E-06    71
  5.77  0.16894E-06    71
  5.78  0.19065E-06    71
  5.79  0.20270E-06    71
  5.80  0.22121E-06    71
  5.81  0.24819E-06    71
  5.82  0.26775E-06    71
  5.83  0.28319E-06    71
  5.84  0.28558E-06    71
  5.85  0.30056E-06    71
  5.86  0.30016E-06    71
  5.87  0.29802E-06    71
  5.88  0.30503E-06    71
  5.89  0.32765E-06    71
  5.90  0.31489E-06    71
  5.91  0.30327E-06    72
  5.92  0.28848E-06    72
  5.93  0.28139E-06    72
  5.94  0.26975E-06    72
  5.95  0.26159E-06    72
  5.96  0.24690E-06    72
  5.97  0.22676E-06    72
  5.98  0.20740E-06    72
  5.99  0.18937E-06    72
  6.00  0.18034E-06    71
  6.01  0.16361E-06    72
  6.02  0.14700E-06    71
  6.03  0.13110E-06    71
  6.04  0.11335E-06    71
  6.05  0.97047E-07    71
  6.06  0.78964E-07    71
  6.07  0.70596E-07    71
  6.08  0.60903E-07    71
  6.09  0.49897E-07    72
  6.10  0.40669E-07    72
  6.11  0.31744E-07    72
  6.12  0.30108E-07    72
  6.13  0.33671E-07    73
  6.14  0.39473E-07    74
  6.15  0.47668E-07    76
  6.16  0.57262E-07    80
  6.17  0.69290E-07    86
  6.18  0.10279E-06   102
  6.19  0.15010E-06   127
  6.20  0.22044E-06   159
  6.21  0.33104E-06   214
  6.22  0.70539E-06   261
  6.23  0.61057E-06   310
  6.24  0.79619E-06   291
  6.25  0.10697E-05   279
  6.26  0.92587E-06   304
  6.27  0.19910E-05   321
  6.28  0.17438E-05   357
  6.29  0.96381E-06   443
  6.30  0.73242E-06   544
  6.31  0.25520E-06    75
  6.32  0.25207E-06    75
  6.33  0.23028E-06    75
  6.34  0.22137E-06    75
  6.35  0.19670E-06    75
  6.36  0.17244E-06    75
  6.37  0.14375E-06    75
  6.38  0.11794E-06    75
  6.39  0.10170E-06    76
  6.40  0.80076E-07    76
  6.41  0.66225E-07    76
  6.42  0.56990E-07    77
  6.43  0.57870E-07    77
  6.44  0.71610E-07    77
  6.45  0.93287E-07    76
  6.46  0.11851E-06    76
  6.47  0.13643E-06    77
  6.48  0.16207E-06    77
  6.49  0.18880E-06    77
  6.50  0.22665E-06    77
  6.51  0.25478E-06    77
  6.52  0.29050E-06    77
  6.53  0.32532E-06    78
  6.54  0.36381E-06    78
  6.55  0.40650E-06    78
  6.56  0.42019E-06    79
  6.57  0.45880E-06    80
  6.58  0.49966E-06    80
  6.59  0.57832E-06    80
  6.60  0.64755E-06    81
  6.61  0.71462E-06    81
  6.62  0.75075E-06    81
  6.63  0.86484E-06    82
  6.64  0.93998E-06    81
  6.65  0.10289E-05    81
  6.66  0.11015E-05    82
  6.67  0.11759E-05    82
  6.68  0.12505E-05    81
  6.69  0.12377E-05    81
  6.70  0.12479E-05    81
  6.71  0.12634E-05    81
  6.72  0.12171E-05    82
  6.73  0.11435E-05    82
  6.74  0.10549E-05    82
  6.75  0.89416E-06    83
  6.76  0.77021E-06    83
  6.77  0.69396E-06    83
  6.78  0.57282E-06    83
  6.79  0.54955E-06    84
  6.80  0.59770E-06    84
  6.81  0.72245E-06    83
  6.82  0.85755E-06    83
  6.83  0.10076E-05    83
  6.84  0.11121E-05    83
  6.85  0.12801E-05    83
  6.86  0.14497E-05    83
  6.87  0.16123E-05    83
  6.88  0.18011E-05    83
  6.89  0.20473E-05    82
  6.90  0.23888E-05    82
  6.91  0.25816E-05    82
  6.92  0.28171E-05    82
  6.93  0.31169E-05    81
  6.94  0.31538E-05    81
  6.95  0.32904E-05    81
  6.96  0.33775E-05    81
  6.97  0.34486E-05    80
  6.98  0.36068E-05    80
  6.99  0.34944E-05    80
  7.00  0.35223E-05    80
  7.01  0.36528E-05    80
  7.02  0.36384E-05    80
  7.03  0.35549E-05    80
  7.04  0.34339E-05    80
  7.05  0.32049E-05    80
  7.06  0.30709E-05    79
  7.07  0.30730E-05    79
  7.08  0.28679E-05    79
  7.09  0.28830E-05    79
  7.10  0.27842E-05    78
  7.11  0.26276E-05    78
  7.12  0.26146E-05    78
  7.13  0.24173E-05    78
  7.14  0.22984E-05    78
  7.15  0.21658E-05    78
  7.16  0.20718E-05    78
  7.17  0.18737E-05    78
  7.18  0.17880E-05    78
  7.19  0.16225E-05    78
  7.20  0.15194E-05    78
  7.21  0.13946E-05    77
  7.22  0.12458E-05    78
  7.23  0.11789E-05    77
  7.24  0.10496E-05    77
  7.25  0.99303E-06    77
  7.26  0.90225E-06    76
  7.27  0.80873E-06    76
  7.28  0.74748E-06    76
  7.29  0.67381E-06    76
  7.30  0.61266E-06    76
  7.31  0.55407E-06    75
  7.32  0.49555E-06    75
  7.33  0.43242E-06    75
  7.34  0.36785E-06    75
  7.35  0.30116E-06    75
  7.36  0.24128E-06    75
  7.37  0.18364E-06    75
  7.38  0.13102E-06    74
  7.39  0.12855E-06    74
  7.40  0.15500E-06    74
  7.41  0.19664E-06    73
  7.42  0.24706E-06    74
  7.43  0.31369E-06    73
  7.44  0.36348E-06    74
  7.45  0.41432E-06    74
  7.46  0.43857E-06    74
  7.47  0.45813E-06    74
  7.48  0.45478E-06    74
  7.49  0.46600E-06    73
  7.50  0.45039E-06    73
  7.51  0.42128E-06    74
  7.52  0.41025E-06    73
  7.53  0.37948E-06    73
  7.54  0.34969E-06    73
  7.55  0.31641E-06    73
  7.56  0.27397E-06    73
  7.57  0.24486E-06    73
  7.58  0.20458E-06    73
  7.59  0.17920E-06    73
  7.60  0.14250E-06    73
  7.61  0.12859E-06    72
  7.62  0.10734E-06    73
  7.63  0.99244E-07    73
  7.64  0.98339E-07    73
  7.65  0.98622E-07    73
  7.66  0.97093E-07    73
  7.67  0.99346E-07    73
  7.68  0.10829E-06    73
  7.69  0.11317E-06    73
  7.70  0.12040E-06    73
  7.71  0.12247E-06    73
  7.72  0.13045E-06    73
  7.73  0.14241E-06    73
  7.74  0.14826E-06    73
  7.75  0.15775E-06    73
  7.76  0.17173E-06    73
  7.77  0.17655E-06    73
  7.78  0.19132E-06    72
  7.79  0.19908E-06    72
  7.80  0.20165E-06    73
  7.81  0.21005E-06    73
  7.82  0.22457E-06    73
  7.83  0.23583E-06    73
  7.84  0.23333E-06    73
  7.85  0.23729E-06    73
  7.86  0.25008E-06    73
  7.87  0.24550E-06    73
  7.88  0.25820E-06    73
  7.89  0.26652E-06    73
  7.90  0.26673E-06    74
  7.91  0.27853E-06    74
  7.92  0.29060E-06    74
  7.93  0.30405E-06    74
  7.94  0.32805E-06    75
  7.95  0.34258E-06    74
  7.96  0.34785E-06    75
  7.97  0.38056E-06    75
  7.98  0.38489E-06    75
  7.99  0.40266E-06    75
  8.00  0.42086E-06    76
  8.01  0.42326E-06    76
  8.02  0.42453E-06    76
  8.03  0.43407E-06    76
  8.04  0.41658E-06    76
  8.05  0.41634E-06    75
  8.06  0.39464E-06    75
  8.07  0.38433E-06    75
  8.08  0.37033E-06    76
  8.09  0.34937E-06    76
  8.10  0.34980E-06    76
  8.11  0.34518E-06    76
  8.12  0.32752E-06    77
  8.13  0.32590E-06    77
  8.14  0.34633E-06    77
  8.15  0.33508E-06    78
  8.16  0.34718E-06    79
  8.17  0.36402E-06    79
  8.18  0.38511E-06    80
  8.19  0.41160E-06    81
  8.20  0.44211E-06    83
  8.21  0.48446E-06    85
  8.22  0.54227E-06    88
  8.23  0.61586E-06    91
  8.24  0.74224E-06    97
  8.25  0.82768E-06   105
  8.26  0.97520E-06   114
  8.27  0.12125E-05   125
  8.28  0.13024E-05   138
  8.29  0.15480E-05   163
  8.30  0.18937E-05   194
  8.31  0.12667E-06    87
  8.32  0.10568E-06    86
  8.33  0.99800E-07    83
  8.34  0.87645E-07    82
  8.35  0.85696E-07    82
  8.36  0.87335E-07    82
  8.37  0.82004E-07    82
  8.38  0.80640E-07    82
  8.39  0.82056E-07    82
  8.40  0.78124E-07    81
  8.41  0.71223E-07    81
  8.42  0.67597E-07    80
  8.43  0.63503E-07    80
  8.44  0.62198E-07    79
  8.45  0.59271E-07    78
  8.46  0.54427E-07    78
  8.47  0.52196E-07    78
  8.48  0.51267E-07    78
  8.49  0.50600E-07    78
  8.50  0.50078E-07    78
  8.51  0.50335E-07    78
  8.52  0.52186E-07    78
  8.53  0.51038E-07    78
  8.54  0.54064E-07    78
  8.55  0.53222E-07    78
  8.56  0.56003E-07    78
  8.57  0.55215E-07    78
  8.58  0.56108E-07    79
  8.59  0.57270E-07    79
  8.60  0.58314E-07    79
  8.61  0.59508E-07    79
  8.62  0.62383E-07    79
  8.63  0.63316E-07    79
  8.64  0.64008E-07    79
  8.65  0.63382E-07    79
  8.66  0.65626E-07    79
  8.67  0.67241E-07    79
  8.68  0.68671E-07    79
  8.69  0.70198E-07    80
  8.70  0.71444E-07    79
  8.71  0.72082E-07    80
  8.72  0.73319E-07    79
  8.73  0.74246E-07    79
  8.74  0.72085E-07    80
  8.75  0.74021E-07    79
  8.76  0.74883E-07    79
  8.77  0.74204E-07    80
  8.78  0.75943E-07    79
  8.79  0.77768E-07    79
  8.80  0.80255E-07    80
  8.81  0.84805E-07    79
  8.82  0.87319E-07    80
  8.83  0.87734E-07    80
  8.84  0.89403E-07    80
  8.85  0.93832E-07    79
  8.86  0.93979E-07    79
  8.87  0.96627E-07    79
  8.88  0.99419E-07    79
  8.89  0.10292E-06    79
  8.90  0.10975E-06    79
  8.91  0.11272E-06    79
  8.92  0.11827E-06    79
  8.93  0.12244E-06    79
  8.94  0.12557E-06    79
  8.95  0.13088E-06    79
  8.96  0.13415E-06    79
  8.97  0.13827E-06    79
  8.98  0.14125E-06    79
  8.99  0.14267E-06    79
  9.00  0.14072E-06    79
  9.01  0.14635E-06    79
  9.02  0.15171E-06    78
  9.03  0.15300E-06    79
  9.04  0.15163E-06    79
  9.05  0.15644E-06    78
  9.06  0.15887E-06    79
  9.07  0.16117E-06    78
  9.08  0.16248E-06    78
  9.09  0.16393E-06    78
  9.10  0.16468E-06    79
  9.11  0.16429E-06    78
  9.12  0.16348E-06    78
  9.13  0.16522E-06    78
  9.14  0.16056E-06    78
  9.15  0.15960E-06    78
  9.16  0.16006E-06    78
  9.17  0.15909E-06    78
  9.18  0.15969E-06    78
  9.19  0.15672E-06    78
  9.20  0.15202E-06    77
  9.21  0.14372E-06    77
  9.22  0.14232E-06    77
  9.23  0.13667E-06    77
  9.24  0.12695E-06    77
  9.25  0.12124E-06    76
  9.26  0.11762E-06    76
  9.27  0.11443E-06    76
  9.28  0.10803E-06    76
  9.29  0.10576E-06    76
  9.30  0.10454E-06    75
  9.31  0.10200E-06    75
  9.32  0.99512E-07    75
  9.33  0.95870E-07    75
  9.34  0.96002E-07    75
  9.35  0.94852E-07    75
  9.36  0.92213E-07    75
  9.37  0.90327E-07    75
  9.38  0.89416E-07    74
  9.39  0.88560E-07    74
  9.40  0.87703E-07    74
  9.41  0.86873E-07    74
  9.42  0.86085E-07    74
  9.43  0.85310E-07    74
  9.44  0.84666E-07    73
  9.45  0.84108E-07    73
  9.46  0.82989E-07    73
  9.47  0.82191E-07    73
  9.48  0.81038E-07    73
  9.49  0.80119E-07    73
  9.50  0.78901E-07    72
  9.51  0.78170E-07    72
  9.52  0.77273E-07    72
  9.53  0.76197E-07    72
  9.54  0.75712E-07    72
  9.55  0.75107E-07    72
  9.56  0.74665E-07    71
  9.57  0.73104E-07    71
  9.58  0.74702E-07    71
  9.59  0.74377E-07    71
  9.60  0.72959E-07    71
  9.61  0.72631E-07    70
  9.62  0.72197E-07    70
  9.63  0.71927E-07    70
  9.64  0.72302E-07    70
  9.65  0.71836E-07    70
  9.66  0.73250E-07    70
  9.67  0.73822E-07    69
  9.68  0.73748E-07    69
  9.69  0.72692E-07    69
  9.70  0.72314E-07    69
  9.71  0.73009E-07    69
  9.72  0.72100E-07    69
  9.73  0.71129E-07    69
  9.74  0.70716E-07    68
  9.75  0.70470E-07    68
  9.76  0.71485E-07    68
  9.77  0.71664E-07    68
  9.78  0.71205E-07    68
  9.79  0.71277E-07    68
  9.80  0.71442E-07    67
  9.81  0.71286E-07    67
  9.82  0.71221E-07    67
  9.83  0.71140E-07    67
  9.84  0.71504E-07    67
  9.85  0.71806E-07    66
  9.86  0.71726E-07    66
  9.87  0.70938E-07    66
  9.88  0.70902E-07    66
  9.89  0.71436E-07    66
  9.90  0.71076E-07    66
  9.91  0.70577E-07    65
  9.92  0.71915E-07    65
  9.93  0.71848E-07    65
  9.94  0.71905E-07    65
  9.95  0.71854E-07    65
  9.96  0.72298E-07    64
  9.97  0.72495E-07    64
  9.98  0.72490E-07    64
  9.99  0.72080E-07    64
 10.00  0.72246E-07    64
 10.01  0.72443E-07    64
 10.02  0.72812E-07    64
 10.03  0.73056E-07    64
 10.04  0.73457E-07    63
 10.05  0.73875E-07    63
 10.06  0.73823E-07    63
 10.07  0.73896E-07    63
 10.08  0.73766E-07    63
 10.09  0.72456E-07    63
 10.10  0.73865E-07    62
 10.11  0.73198E-07    62
 10.12  0.72971E-07    62
 10.13  0.72649E-07    62
 10.14  0.72389E-07    62
 10.15  0.72270E-07    62
 10.16  0.71788E-07    62
 10.17  0.71415E-07    62
 10.18  0.71200E-07    62
 10.19  0.71127E-07    61
 10.20  0.70831E-07    61
 10.21  0.70726E-07    61
 10.22  0.70461E-07    61
 10.23  0.70705E-07    61
 10.24  0.70073E-07    61
 10.25  0.69949E-07    61
 10.26  0.70018E-07    61
 10.27  0.69334E-07    61
 10.28  0.69130E-07    61
 10.29  0.68892E-07    61
 10.30  0.69296E-07    61
 10.31  0.69829E-07    60
 10.32  0.70218E-07    60
 10.33  0.70592E-07    60
 10.34  0.70982E-07    60
 10.35  0.71373E-07    60
 10.36  0.72685E-07    60
 10.37  0.73562E-07    60
 10.38  0.73423E-07    60
 10.39  0.73073E-07    60
 10.40  0.72317E-07    60
 10.41  0.72046E-07    60
 10.42  0.72278E-07    60
 10.43  0.72087E-07    60
 10.44  0.71750E-07    60
 10.45  0.71510E-07    59
 10.46  0.71741E-07    59
 10.47  0.71809E-07    60
 10.48  0.70572E-07    60
 10.49  0.71653E-07    59
 10.50  0.72506E-07    59
 10.51  0.72739E-07    59
 10.52  0.73168E-07    59
 10.53  0.74025E-07    59
 10.54  0.74588E-07    59
 10.55  0.75053E-07    59
 10.56  0.74565E-07    59
 10.57  0.74141E-07    59
 10.58  0.74245E-07    59
 10.59  0.74183E-07    59
 10.60  0.73972E-07    59
 10.61  0.73926E-07    59
 10.62  0.73715E-07    59
 10.63  0.73470E-07    59
 10.64  0.74102E-07    59
 10.65  0.73658E-07    59
 10.66  0.73196E-07    59
 10.67  0.72865E-07    59
 10.68  0.72701E-07    58
 10.69  0.72319E-07    58
 10.70  0.72071E-07    58
 10.71  0.71738E-07    58
 10.72  0.71337E-07    58
 10.73  0.71303E-07    58
 10.74  0.71387E-07    58
 10.75  0.71470E-07    58
 10.76  0.70866E-07    58
 10.77  0.70378E-07    58
 10.78  0.71048E-07    58
 10.79  0.71114E-07    58
 10.80  0.70978E-07    58
 10.81  0.70741E-07    58
 10.82  0.70638E-07    58
 10.83  0.69893E-07    58
 10.84  0.70127E-07    58
 10.85  0.70648E-07    58
 10.86  0.71102E-07    58
 10.87  0.71235E-07    58
 10.88  0.71114E-07    58
 10.89  0.71230E-07    58
 10.90  0.71432E-07    58
 10.91  0.72669E-07    58
 10.92  0.73229E-07    58
 10.93  0.73603E-07    58
 10.94  0.74317E-07    58
 10.95  0.75238E-07    58
 10.96  0.76058E-07    58
 10.97  0.76930E-07    58
 10.98  0.77889E-07    58
 10.99  0.79158E-07    58
 11.00  0.81029E-07    58
 11.01  0.83143E-07    58
 11.02  0.85278E-07    58
 11.03  0.87400E-07    58
 11.04  0.91072E-07    58
 11.05  0.95560E-07    59
 11.06  0.10037E-06    59
 11.07  0.10599E-06    59
 11.08  0.11218E-06    59
 11.09  0.12026E-06    59
 11.10  0.12932E-06    60
 11.11  0.82307E-07    99
 11.12  0.74501E-07    89
 11.13  0.66699E-07    80
 11.14  0.57286E-07    77
 11.15  0.51260E-07    73
 11.16  0.45918E-07    69
 11.17  0.41349E-07    67
 11.18  0.36773E-07    65
 11.19  0.33041E-07    64
 11.20  0.30524E-07    62
 11.21  0.28177E-07    61
 11.22  0.26088E-07    60
 11.23  0.24345E-07    60
 11.24  0.23124E-07    59
 11.25  0.21778E-07    59
 11.26  0.20657E-07    59
 11.27  0.19359E-07    59
 11.28  0.18709E-07    59
 11.29  0.18550E-07    58
 11.30  0.18073E-07    58
 11.31  0.17667E-07    58
 11.32  0.16989E-07    58
 11.33  0.16895E-07    58
 11.34  0.16857E-07    58
 11.35  0.17020E-07    58
 11.36  0.17106E-07    58
 11.37  0.17091E-07    58
 11.38  0.16881E-07    58
 11.39  0.17259E-07    58
 11.40  0.17596E-07    58
 11.41  0.17750E-07    59
 11.42  0.18087E-07    58
 11.43  0.18263E-07    59
 11.44  0.18600E-07    58
 11.45  0.18759E-07    59
 11.46  0.19168E-07    58
 11.47  0.19596E-07    58
 11.48  0.19791E-07    58
 11.49  0.19988E-07    59
 11.50  0.20345E-07    59
 11.51  0.20811E-07    59
 11.52  0.21206E-07    59
 11.53  0.21548E-07    59
 11.54  0.21728E-07    59
 11.55  0.22125E-07    59
 11.56  0.22342E-07    59
 11.57  0.22541E-07    59
 11.58  0.23102E-07    59
 11.59  0.23429E-07    59
 11.60  0.23774E-07    59
 11.61  0.24138E-07    59
 11.62  0.24575E-07    59
 11.63  0.25103E-07    59
 11.64  0.25379E-07    59
 11.65  0.25963E-07    59
 11.66  0.26657E-07    59
 11.67  0.27152E-07    59
 11.68  0.27758E-07    59
 11.69  0.28291E-07    59
 11.70  0.28917E-07    59
 11.71  0.29616E-07    59
 11.72  0.30335E-07    59
 11.73  0.30927E-07    59
 11.74  0.31356E-07    59
 11.75  0.32078E-07    59
 11.76  0.32746E-07    59
